Planets,Years,Date,Angular Separation (deg),Elongation
Saturn Mars,165, 0165-Dec-18 12:45:00 UTC,0.774,16.712
Saturn Mars,167, 0167-Dec-26 01:53:00 UTC,0.109,31.558
Saturn Mars,170, 0170-Jan-02 21:41:00 UTC,1.165,46.464
Saturn Mars,172, 0172-Jan-13 18:26:00 UTC,2.243,60.945
Saturn Mars,174, 0174-Jan-26 07:20:00 UTC,3.099,74.383
Saturn Mars,176, 0176-Feb-11 22:43:00 UTC,3.446,86.032
Saturn Mars,177, 0177-Oct-09 07:24:00 UTC,1.601,112.063
Saturn Mars,177, 0177-Nov-18 04:49:00 UTC,3.332,154.113
Saturn Mars,178, 0178-Mar-02 02:49:00 UTC,3.106,95.778
Saturn Mars,179, 0179-Oct-20 21:44:00 UTC,1.232,95.491
Saturn Mars,180, 0180-Jan-21 12:02:00 UTC,3.889,166.028
Saturn Mars,180, 0180-Mar-18 14:38:00 UTC,2.226,106.886
Saturn Mars,181, 0181-Nov-06 16:18:00 UTC,0.588,86.597
Saturn Mars,182, 0182-Mar-26 01:09:00 UTC,3.458,127.164
Saturn Mars,183, 0183-Nov-23 00:30:00 UTC,0.187,77.841
Saturn Mars,185, 0185-Dec-05 14:02:00 UTC,0.889,67.757
Saturn Mars,187, 0187-Dec-16 15:27:00 UTC,1.379,56.327
Saturn Mars,189, 0189-Dec-24 19:10:00 UTC,1.586,43.788
Saturn Mars,192, 0192-Jan-01 16:44:00 UTC,1.489,30.399
Saturn Mars,194, 0194-Jan-07 23:36:00 UTC,1.097,16.371
Saturn Mars,196, 0196-Jan-15 09:14:00 UTC,0.441,2.09
Saturn Mars,198, 0198-Jan-22 18:33:00 UTC,0.417,12.432
Saturn Mars,200, 0200-Feb-02 04:53:00 UTC,1.363,26.118
Saturn Mars,202, 0202-Feb-15 17:48:00 UTC,2.204,38.379
Saturn Mars,204, 0204-Mar-04 04:16:00 UTC,2.682,48.416
Saturn Mars,206, 0206-Mar-25 13:25:00 UTC,2.57,55.794
Saturn Mars,208, 0208-Apr-17 11:14:00 UTC,1.829,61.13
Saturn Mars,210, 0210-May-11 02:14:00 UTC,0.649,66.202
Saturn Mars,212, 0212-May-30 06:25:00 UTC,0.703,73.308
Saturn Mars,214, 0214-Jun-12 23:04:00 UTC,2.059,85.092
Saturn Mars,216, 0216-Jan-24 23:05:00 UTC,0.161,109.219
Saturn Mars,216, 0216-Apr-08 16:36:00 UTC,1.018,172.685
Saturn Mars,216, 0216-Jun-08 18:53:00 UTC,3.424,111.911
Saturn Mars,218, 0218-Jan-22 03:55:00 UTC,1.009,84.47
Saturn Mars,220, 0220-Jan-26 09:43:00 UTC,1.318,66.747
Saturn Mars,222, 0222-Jan-31 01:32:00 UTC,1.238,50.803
Saturn Mars,224, 0224-Feb-06 12:13:00 UTC,0.834,35.536
Saturn Mars,226, 0226-Feb-12 21:54:00 UTC,0.174,20.67
Saturn Mars,228, 0228-Feb-21 22:16:00 UTC,0.645,6.56
Saturn Mars,230, 0230-Mar-04 12:50:00 UTC,1.477,7.197
Saturn Mars,232, 0232-Mar-18 17:12:00 UTC,2.113,18.32
Saturn Mars,234, 0234-Apr-06 23:21:00 UTC,2.327,27.095
Saturn Mars,236, 0236-Apr-28 19:38:00 UTC,1.983,33.379
Saturn Mars,238, 0238-May-23 08:25:00 UTC,1.139,38.091
Saturn Mars,240, 0240-Jun-14 20:13:00 UTC,0.019,42.864
Saturn Mars,242, 0242-Jul-05 00:21:00 UTC,1.14,49.262
Saturn Mars,244, 0244-Jul-19 15:07:00 UTC,2.19,58.417
Saturn Mars,246, 0246-Jul-29 21:25:00 UTC,3.112,71.443
Saturn Mars,248, 0248-Jul-30 13:57:00 UTC,4.141,92.046
Saturn Mars,250, 0250-Mar-08 07:04:00 UTC,1.103,100.124
Saturn Mars,252, 0252-Mar-03 12:54:00 UTC,1.06,74.386
Saturn Mars,254, 0254-Mar-07 02:03:00 UTC,0.661,55.762
Saturn Mars,256, 0256-Mar-12 16:29:00 UTC,0.007,39.496
Saturn Mars,258, 0258-Mar-21 21:33:00 UTC,0.774,24.746
Saturn Mars,260, 0260-Apr-02 06:42:00 UTC,1.508,11.761
Saturn Mars,262, 0262-Apr-18 13:15:00 UTC,1.986,2.262
Saturn Mars,264, 0264-May-07 22:08:00 UTC,2.018,7.825
Saturn Mars,266, 0266-May-31 09:56:00 UTC,1.54,13.549
Saturn Mars,268, 0268-Jun-23 20:55:00 UTC,0.672,18.086
Saturn Mars,270, 0270-Jul-16 17:38:00 UTC,0.359,22.888
Saturn Mars,272, 0272-Aug-04 04:31:00 UTC,1.343,29.248
Saturn Mars,274, 0274-Aug-19 12:54:00 UTC,2.15,37.905
Saturn Mars,276, 0276-Aug-29 20:17:00 UTC,2.731,49.272
Saturn Mars,278, 0278-Sep-06 01:32:00 UTC,3.105,63.949
Saturn Mars,280, 0280-Sep-06 07:12:00 UTC,3.454,84.404
Saturn Mars,282, 0282-Apr-24 01:57:00 UTC,1.804,116.4
Saturn Mars,284, 0284-Apr-09 07:18:00 UTC,0.744,79.99
Saturn Mars,286, 0286-Apr-12 14:09:00 UTC,0.008,59.736
Saturn Mars,288, 0288-Apr-20 06:15:00 UTC,0.796,43.594
Saturn Mars,290, 0290-May-03 03:30:00 UTC,1.464,30.153
Saturn Mars,292, 0292-May-19 06:51:00 UTC,1.817,19.413
Saturn Mars,294, 0294-Jun-09 08:49:00 UTC,1.715,11.455
Saturn Mars,296, 0296-Jul-02 01:48:00 UTC,1.158,5.823
Saturn Mars,298, 0298-Jul-26 00:39:00 UTC,0.304,1.603
Saturn Mars,300, 0300-Aug-16 21:02:00 UTC,0.628,3.926
Saturn Mars,302, 0302-Sep-04 05:35:00 UTC,1.457,10.283
Saturn Mars,304, 0304-Sep-17 18:53:00 UTC,2.074,18.85
Saturn Mars,306, 0306-Sep-28 21:03:00 UTC,2.429,29.739
Saturn Mars,308, 0308-Oct-06 00:03:00 UTC,2.507,42.995
Saturn Mars,310, 0310-Oct-11 09:55:00 UTC,2.318,58.931
Saturn Mars,312, 0312-Oct-11 21:51:00 UTC,1.944,79.293
Saturn Mars,314, 0314-Sep-26 12:15:00 UTC,2.349,118.039
Saturn Mars,316, 0316-May-18 07:29:00 UTC,0.467,84.791
Saturn Mars,318, 0318-May-23 00:52:00 UTC,0.591,64.075
Saturn Mars,320, 0320-Jun-03 07:37:00 UTC,1.302,49.321
Saturn Mars,322, 0322-Jun-20 18:04:00 UTC,1.609,38.347
Saturn Mars,324, 0324-Jul-11 04:37:00 UTC,1.442,30.604
Saturn Mars,326, 0326-Aug-03 18:59:00 UTC,0.862,25.257
Saturn Mars,328, 0328-Aug-26 02:08:00 UTC,0.049,20.867
Saturn Mars,330, 0330-Sep-15 22:40:00 UTC,0.787,15.865
Saturn Mars,332, 0332-Oct-02 06:34:00 UTC,1.489,9.237
Saturn Mars,334, 0334-Oct-16 01:01:00 UTC,1.964,2.258
Saturn Mars,336, 0336-Oct-25 18:09:00 UTC,2.164,11.044
Saturn Mars,338, 0338-Nov-03 01:43:00 UTC,2.072,23.752
Saturn Mars,340, 0340-Nov-08 16:21:00 UTC,1.679,38.284
Saturn Mars,342, 0342-Nov-14 01:35:00 UTC,0.986,54.637
Saturn Mars,344, 0344-Nov-16 17:38:00 UTC,0.017,73.814
Saturn Mars,346, 0346-Nov-13 23:47:00 UTC,1.074,101.179
Saturn Mars,348, 0348-Jul-01 11:38:00 UTC,0.28,92.584
Saturn Mars,350, 0350-Jul-08 08:40:00 UTC,0.925,71.921
Saturn Mars,352, 0352-Jul-23 19:39:00 UTC,1.339,59.651
Saturn Mars,354, 0354-Aug-14 00:04:00 UTC,1.191,51.791
Saturn Mars,356, 0356-Sep-05 02:39:00 UTC,0.638,46.526
Saturn Mars,358, 0358-Sep-27 09:04:00 UTC,0.111,41.925
Saturn Mars,360, 0360-Oct-15 20:21:00 UTC,0.859,36.332
Saturn Mars,362, 0362-Oct-31 19:02:00 UTC,1.459,28.869
Saturn Mars,364, 0364-Nov-12 10:58:00 UTC,1.826,19.398
Saturn Mars,366, 0366-Nov-22 11:12:00 UTC,1.917,8.129
Saturn Mars,368, 0368-Nov-29 13:39:00 UTC,1.717,5.033
Saturn Mars,370, 0370-Dec-06 13:44:00 UTC,1.226,19.028
Saturn Mars,372, 0372-Dec-12 06:59:00 UTC,0.456,34.043
Saturn Mars,374, 0374-Dec-19 10:03:00 UTC,0.556,49.775
Saturn Mars,376, 0376-Dec-26 07:53:00 UTC,1.727,66.251
Saturn Mars,379, 0379-Jan-03 20:14:00 UTC,2.899,83.868
Saturn Mars,380, 0380-Sep-05 09:22:00 UTC,0.212,120.633
Saturn Mars,380, 0380-Oct-07 13:56:00 UTC,1.273,154.068
Saturn Mars,381, 0381-Jan-09 20:11:00 UTC,3.881,104.75
Saturn Mars,382, 0382-Sep-02 20:45:00 UTC,1.096,89.24
Saturn Mars,384, 0384-Sep-19 20:29:00 UTC,1.114,78.555
Saturn Mars,386, 0386-Oct-11 03:50:00 UTC,0.64,72.174
Saturn Mars,388, 0388-Oct-30 12:24:00 UTC,0.059,66.388
Saturn Mars,390, 0390-Nov-16 21:08:00 UTC,0.766,59.242
Saturn Mars,392, 0392-Nov-29 21:23:00 UTC,1.325,50.184
Saturn Mars,394, 0394-Dec-11 02:22:00 UTC,1.642,39.385
Saturn Mars,396, 0396-Dec-19 05:37:00 UTC,1.673,27.166
Saturn Mars,398, 0398-Dec-27 00:03:00 UTC,1.411,13.832
Saturn Mars,401, 0401-Jan-02 04:53:00 UTC,0.869,0.303
Saturn Mars,403, 0403-Jan-09 17:04:00 UTC,0.082,14.789
Saturn Mars,405, 0405-Jan-17 11:38:00 UTC,0.875,29.213
Saturn Mars,407, 0407-Jan-28 12:50:00 UTC,1.865,42.927
Saturn Mars,409, 0409-Feb-10 19:56:00 UTC,2.66,55.142
Saturn Mars,411, 0411-Mar-01 00:28:00 UTC,2.979,64.999
Saturn Mars,413, 0413-Mar-21 18:19:00 UTC,2.624,72.239
Saturn Mars,415, 0415-Apr-14 02:01:00 UTC,1.639,77.989
Saturn Mars,417, 0417-May-04 06:51:00 UTC,0.289,84.961
Saturn Mars,418, 0418-Dec-22 13:17:00 UTC,0.827,111
Saturn Mars,419, 0419-Feb-13 06:42:00 UTC,1.884,166.497
Saturn Mars,419, 0419-May-17 21:54:00 UTC,1.129,97.859
Saturn Mars,420, 0420-Dec-26 18:54:00 UTC,0.299,91.629
Saturn Mars,423, 0423-Jan-03 12:20:00 UTC,1.021,76.318
Saturn Mars,425, 0425-Jan-10 01:25:00 UTC,1.394,61.842
Saturn Mars,427, 0427-Jan-17 02:58:00 UTC,1.426,47.463
Saturn Mars,429, 0429-Jan-22 22:13:00 UTC,1.142,32.959
Saturn Mars,431, 0431-Jan-29 21:52:00 UTC,0.583,18.358
Saturn Mars,433, 0433-Feb-05 18:41:00 UTC,0.188,4.059
Saturn Mars,435, 0435-Feb-15 10:58:00 UTC,1.067,10.268
Saturn Mars,437, 0437-Feb-27 00:54:00 UTC,1.887,22.864
Saturn Mars,439, 0439-Mar-15 11:23:00 UTC,2.417,33.404
Saturn Mars,441, 0441-Apr-04 01:18:00 UTC,2.428,41.331
Saturn Mars,443, 0443-Apr-27 18:43:00 UTC,1.838,46.922
Saturn Mars,445, 0445-May-21 06:20:00 UTC,0.788,51.522
Saturn Mars,447, 0447-Jun-12 16:18:00 UTC,0.46,56.973
Saturn Mars,449, 0449-Jun-29 18:45:00 UTC,1.692,64.975
Saturn Mars,451, 0451-Jul-11 19:52:00 UTC,2.839,77.273
Saturn Mars,453, 0453-Mar-12 02:44:00 UTC,3.172,138.005
Saturn Mars,453, 0453-Jul-11 17:09:00 UTC,4.123,99.246
Saturn Mars,455, 0455-Feb-17 06:39:00 UTC,1.063,91.99
Saturn Mars,457, 0457-Feb-16 17:04:00 UTC,1.196,70.577
Saturn Mars,459, 0459-Feb-21 00:57:00 UTC,0.93,53.175
Saturn Mars,461, 0461-Feb-26 06:32:00 UTC,0.371,37.288
Saturn Mars,463, 0463-Mar-06 07:02:00 UTC,0.38,22.36
Saturn Mars,465, 0465-Mar-15 17:37:00 UTC,1.185,8.684
Saturn Mars,467, 0467-Mar-29 13:03:00 UTC,1.858,4.408
Saturn Mars,469, 0469-Apr-15 11:10:00 UTC,2.179,13.733
Saturn Mars,471, 0471-May-07 07:35:00 UTC,1.986,20.807
Saturn Mars,473, 0473-May-30 14:39:00 UTC,1.286,25.903
Saturn Mars,475, 0475-Jun-23 22:00:00 UTC,0.263,30.355
Saturn Mars,477, 0477-Jul-14 17:39:00 UTC,0.837,35.731
Saturn Mars,479, 0479-Aug-01 13:16:00 UTC,1.826,43.215
Saturn Mars,481, 0481-Aug-13 19:56:00 UTC,2.621,53.54
Saturn Mars,483, 0483-Aug-22 07:01:00 UTC,3.238,67.498
Saturn Mars,485, 0485-Aug-22 12:43:00 UTC,3.909,88.059
Saturn Mars,487, 0487-Apr-02 22:48:00 UTC,1.344,107.005
Saturn Mars,489, 0489-Mar-24 22:53:00 UTC,0.879,76.898
Saturn Mars,491, 0491-Mar-28 01:38:00 UTC,0.283,57.38
Saturn Mars,493, 0493-Apr-03 08:10:00 UTC,0.465,41.042
Saturn Mars,495, 0495-Apr-14 00:40:00 UTC,1.215,26.757
Saturn Mars,497, 0497-Apr-27 13:34:00 UTC,1.775,14.713
Saturn Mars,499, 0499-May-16 08:00:00 UTC,1.947,5.36
Saturn Mars,501, 0501-Jun-07 18:47:00 UTC,1.629,1.958
Saturn Mars,503, 0503-Jul-02 02:56:00 UTC,0.885,6.654
Saturn Mars,505, 0505-Jul-24 20:06:00 UTC,0.081,11.143
