Planets,Years,Date,Angular Separation (deg),Elongation
Saturn Uranus,1580, 1580-Nov-26 07:35:00 UTC,0.431,67.476
Saturn Uranus,1623, 1623-Sep-29 15:40:00 UTC,0.164,50.517
Saturn Uranus,1624, 1624-Feb-20 15:29:00 UTC,0.483,162.559
Saturn Uranus,1624, 1624-May-20 14:35:00 UTC,0.493,73.372
Saturn Uranus,1670, 1670-Jun-18 23:21:00 UTC,3.124,110.533
Saturn Uranus,1671, 1671-Mar-05 06:43:00 UTC,0.983,4.702
Saturn Uranus,1671, 1671-Nov-14 08:30:00 UTC,2.869,110.647
Saturn Uranus,1714, 1714-Oct-12 03:33:00 UTC,1.135,29.646
Saturn Uranus,1715, 1715-May-26 03:55:00 UTC,1.566,103.394
Saturn Uranus,1761, 1761-May-13 03:23:00 UTC,1.523,44.952
Saturn Uranus,1761, 1761-Nov-04 18:17:00 UTC,1.945,142.951
Saturn Uranus,1762, 1762-Jan-08 19:11:00 UTC,1.73,77.04
Saturn Uranus,1805, 1805-Nov-16 18:29:00 UTC,1.719,30.834
Saturn Uranus,1806, 1806-Jul-14 18:27:00 UTC,1.956,90.492
Saturn Uranus,1851, 1851-Jul-27 17:42:00 UTC,2.01,90.057
Saturn Uranus,1852, 1852-Mar-16 07:33:00 UTC,1.765,36.442
Saturn Uranus,1897, 1897-Jan-04 20:18:00 UTC,1.783,47.317
Saturn Uranus,1897, 1897-Jun-05 18:48:00 UTC,2.028,160.694
Saturn Uranus,1897, 1897-Sep-13 14:01:00 UTC,1.691,64.863
Saturn Uranus,1941, 1941-Sep-11 08:59:00 UTC,2.716,109.665
Saturn Uranus,1942, 1942-May-04 01:48:00 UTC,1.6,16.521
Saturn Uranus,1988, 1988-Feb-12 15:27:00 UTC,1.289,53.257
Saturn Uranus,1988, 1988-Jun-28 14:33:00 UTC,1.342,171.469
Saturn Uranus,1988, 1988-Oct-20 03:54:00 UTC,1.056,60.964
Saturn Uranus,2032, 2032-Jun-28 17:02:00 UTC,1.185,9.551
Saturn Uranus,2033, 2033-Feb-27 07:25:00 UTC,2.796,111.192
Saturn Uranus,2079, 2079-Feb-27 00:56:00 UTC,0.434,38.751
Saturn Uranus,2079, 2079-Aug-31 22:10:00 UTC,0.219,139.485
Saturn Uranus,2079, 2079-Oct-22 03:59:00 UTC,0.162,88.868
Saturn Uranus,2122, 2122-Sep-10 06:20:00 UTC,0.531,48.711
Saturn Uranus,2123, 2123-Feb-11 00:33:00 UTC,0.327,155.202
Saturn Uranus,2123, 2123-Apr-28 16:54:00 UTC,0.211,78.207
Saturn Uranus,2169, 2169-Jun-06 11:28:00 UTC,2.511,111.546
Saturn Uranus,2170, 2170-Feb-15 22:17:00 UTC,0.494,1.207
Saturn Uranus,2170, 2170-Oct-31 21:53:00 UTC,2.774,111.271
Saturn Uranus,2212, 2212-Dec-09 03:51:00 UTC,3.186,110.899
Saturn Uranus,2213, 2213-Aug-23 05:58:00 UTC,0.544,1.305
Saturn Uranus,2214, 2214-May-02 13:36:00 UTC,3.058,111.014
Saturn Uranus,2260, 2260-May-14 03:39:00 UTC,1.167,58.528
Saturn Uranus,2260, 2260-Sep-16 18:22:00 UTC,1.55,177.643
Saturn Uranus,2261, 2261-Jan-14 08:29:00 UTC,1.348,59.06
Saturn Uranus,2304, 2304-Jan-11 18:42:00 UTC,2.003,107.468
Saturn Uranus,2304, 2304-Sep-07 00:37:00 UTC,1.399,18.948
Saturn Uranus,2350, 2350-Jul-31 10:58:00 UTC,2.53,108.513
Saturn Uranus,2351, 2351-Mar-27 08:44:00 UTC,1.634,14.519
Saturn Uranus,2395, 2395-Feb-12 07:37:00 UTC,2.899,106.769
Saturn Uranus,2395, 2395-Oct-26 04:43:00 UTC,1.751,6.318
Saturn Uranus,2441, 2441-May-28 23:00:00 UTC,1.768,20.536
Saturn Uranus,2442, 2442-Jan-20 11:25:00 UTC,2.5,107.854
Saturn Uranus,2486, 2486-Dec-17 10:12:00 UTC,1.577,13.07
Saturn Uranus,2487, 2487-Aug-19 00:27:00 UTC,2.043,106.849
Saturn Uranus,2531, 2531-Aug-06 21:58:00 UTC,1.696,58.496
Saturn Uranus,2531, 2531-Dec-13 15:43:00 UTC,1.869,173.172
Saturn Uranus,2532, 2532-Mar-31 15:56:00 UTC,1.485,62.347
Saturn Uranus,2578, 2578-Feb-05 11:07:00 UTC,0.966,30.956
Saturn Uranus,2578, 2578-Sep-23 18:06:00 UTC,0.814,103.036
Saturn Uranus,2621, 2621-Oct-28 04:12:00 UTC,2.458,112.445
Saturn Uranus,2622, 2622-Jun-20 15:33:00 UTC,0.878,14.19
Saturn Uranus,2669, 2669-Feb-22 04:54:00 UTC,0.078,18.194
Saturn Uranus,2669, 2669-Oct-15 15:47:00 UTC,1.131,112.917
Saturn Uranus,2712, 2712-Sep-16 06:46:00 UTC,0.168,38.137
Saturn Uranus,2713, 2713-Apr-06 20:04:00 UTC,0.17,116.669
Saturn Uranus,2759, 2759-Jun-25 04:20:00 UTC,1.581,111.205
Saturn Uranus,2760, 2760-Feb-17 20:13:00 UTC,0.811,14.872
Saturn Uranus,2802, 2802-Dec-26 07:50:00 UTC,3.089,110.311
Saturn Uranus,2803, 2803-Sep-08 19:58:00 UTC,0.866,1.834
Saturn Uranus,2804, 2804-May-20 05:54:00 UTC,3.187,110.32
Saturn Uranus,2850, 2850-Apr-28 10:29:00 UTC,1.359,28.398
Saturn Uranus,2850, 2850-Dec-16 05:16:00 UTC,1.837,105.193
Saturn Uranus,2894, 2894-Jan-26 11:03:00 UTC,2.274,106.72
Saturn Uranus,2894, 2894-Sep-26 06:47:00 UTC,1.574,16.807
Saturn Uranus,2940, 2940-Jul-09 07:20:00 UTC,1.845,71.037
Saturn Uranus,2940, 2940-Oct-05 17:22:00 UTC,2.154,156.224
Saturn Uranus,2941, 2941-Mar-08 04:54:00 UTC,1.768,47.584
Saturn Uranus,2985, 2985-Feb-28 13:21:00 UTC,2.506,105.807
Saturn Uranus,2985, 2985-Nov-02 19:48:00 UTC,1.735,14.455
