Planets,Years,Date,Angular Separation (deg),Elongation
Jupiter Uranus,740, 0740-Feb-17 14:50:00 UTC,0.009,25.538
Jupiter Uranus,753, 0753-Jun-06 04:06:00 UTC,0.573,77.732
Jupiter Uranus,753, 0753-Sep-13 22:19:00 UTC,0.938,175.029
Jupiter Uranus,754, 0754-Jan-02 08:09:00 UTC,0.583,71.506
Jupiter Uranus,767, 0767-Apr-28 11:03:00 UTC,0.451,12.66
Jupiter Uranus,780, 0780-Oct-14 19:59:00 UTC,0.184,88.982
Jupiter Uranus,780, 0780-Dec-14 17:34:00 UTC,0.021,151.607
Jupiter Uranus,781, 0781-May-14 18:00:00 UTC,0.116,56.462
Jupiter Uranus,795, 0795-Jan-01 19:30:00 UTC,0.691,102.483
Jupiter Uranus,795, 0795-Jul-29 09:12:00 UTC,0.534,51.234
Jupiter Uranus,809, 0809-Feb-13 08:37:00 UTC,0.692,82.129
Jupiter Uranus,809, 0809-May-08 05:37:00 UTC,0.727,165.382
Jupiter Uranus,809, 0809-Sep-18 15:45:00 UTC,0.338,64.352
Jupiter Uranus,823, 0823-Jan-30 17:03:00 UTC,0.026,12.283
Jupiter Uranus,836, 0836-May-14 02:36:00 UTC,0.478,60.171
Jupiter Uranus,836, 0836-Oct-19 15:47:00 UTC,0.867,143.629
Jupiter Uranus,836, 0836-Dec-01 23:06:00 UTC,0.69,99.239
Jupiter Uranus,850, 0850-Apr-09 00:59:00 UTC,0.451,26.431
Jupiter Uranus,863, 0863-Sep-07 21:33:00 UTC,0.236,56.764
Jupiter Uranus,864, 0864-Jan-31 15:42:00 UTC,0.101,154.075
Jupiter Uranus,864, 0864-Apr-06 20:56:00 UTC,0.134,87.524
Jupiter Uranus,877, 0877-Nov-14 14:41:00 UTC,0.497,58.866
Jupiter Uranus,878, 0878-Mar-31 04:05:00 UTC,0.872,161.742
Jupiter Uranus,878, 0878-Jun-22 00:44:00 UTC,0.615,81.202
Jupiter Uranus,892, 0892-Jan-13 07:52:00 UTC,0.631,54.971
Jupiter Uranus,892, 0892-Jun-24 13:15:00 UTC,0.579,143.081
Jupiter Uranus,892, 0892-Aug-10 04:22:00 UTC,0.418,97.856
Jupiter Uranus,906, 0906-Jan-15 10:33:00 UTC,0.04,0.682
Jupiter Uranus,919, 0919-Apr-25 17:33:00 UTC,0.407,45.127
Jupiter Uranus,933, 0933-Mar-21 19:53:00 UTC,0.463,40.346
Jupiter Uranus,946, 0946-Aug-14 03:44:00 UTC,0.256,37.144
Jupiter Uranus,960, 0960-Oct-17 05:51:00 UTC,0.413,34.97
Jupiter Uranus,974, 0974-Dec-21 03:38:00 UTC,0.588,35.575
Jupiter Uranus,988, 0988-Dec-29 01:00:00 UTC,0.048,12.493
Jupiter Uranus,1002, 1002-Apr-09 12:59:00 UTC,0.355,32.993
Jupiter Uranus,1015, 1015-Aug-19 12:04:00 UTC,0.878,104.587
Jupiter Uranus,1015, 1015-Sep-17 20:13:00 UTC,0.954,133.508
