Planets,Years,Date,Angular Separation (deg),Elongation
Saturn Neptune,1164, 1164-Jun-09 09:58:00 UTC,0.156,170.771
Saturn Neptune,1164, 1164-Oct-30 14:23:00 UTC,0.39,49.052
Saturn Neptune,1200, 1200-Jun-11 07:06:00 UTC,0.832,92.234
Saturn Neptune,1201, 1201-Feb-02 03:37:00 UTC,0.808,32.903
Saturn Neptune,1235, 1235-Sep-18 16:16:00 UTC,2.933,111.557
Saturn Neptune,1236, 1236-May-18 21:26:00 UTC,0.039,8.142
Saturn Neptune,1270, 1270-Dec-04 15:46:00 UTC,2.344,110.784
Saturn Neptune,1271, 1271-Aug-03 19:47:00 UTC,0.777,12.799
Saturn Neptune,1307, 1307-Jan-23 07:22:00 UTC,0.524,79.861
Saturn Neptune,1307, 1307-Mar-29 05:11:00 UTC,0.677,144.967
Saturn Neptune,1307, 1307-Sep-28 08:22:00 UTC,0.301,37.223
Saturn Neptune,1343, 1343-May-10 13:13:00 UTC,3.485,110.676
Saturn Neptune,1344, 1344-Jan-30 11:00:00 UTC,0.615,8.193
Saturn Neptune,1344, 1344-Oct-05 02:55:00 UTC,2.274,111.337
Saturn Neptune,1379, 1379-Aug-04 00:50:00 UTC,2.3,110.983
Saturn Neptune,1380, 1380-Mar-29 18:05:00 UTC,0.54,12.12
Saturn Neptune,1414, 1414-Oct-23 18:30:00 UTC,2.748,111.643
Saturn Neptune,1415, 1415-Jun-22 20:50:00 UTC,0.457,9.989
Saturn Neptune,1450, 1450-Jan-04 10:13:00 UTC,4.136,109.907
Saturn Neptune,1450, 1450-Sep-28 05:45:00 UTC,0.727,6.887
Saturn Neptune,1451, 1451-Jun-01 02:40:00 UTC,2.574,110.11
Saturn Neptune,1486, 1486-Dec-31 21:35:00 UTC,0.051,23.256
Saturn Neptune,1487, 1487-Aug-17 04:39:00 UTC,0.498,112.775
Saturn Neptune,1523, 1523-May-09 07:40:00 UTC,0.769,69.695
Saturn Neptune,1523, 1523-Aug-10 11:41:00 UTC,1.054,159.153
Saturn Neptune,1524, 1524-Jan-13 20:38:00 UTC,0.902,43.705
Saturn Neptune,1558, 1558-Sep-06 21:30:00 UTC,4.145,111.001
Saturn Neptune,1559, 1559-May-21 16:05:00 UTC,0.166,3.615
Saturn Neptune,1560, 1560-Jan-29 03:49:00 UTC,3.606,111.347
Saturn Neptune,1593, 1593-Nov-23 23:20:00 UTC,3.798,110.761
Saturn Neptune,1594, 1594-Aug-07 03:23:00 UTC,0.714,0.999
Saturn Neptune,1595, 1595-Apr-17 14:04:00 UTC,3.782,110.83
Saturn Neptune,1629, 1629-Dec-19 08:14:00 UTC,0.593,54.866
Saturn Neptune,1630, 1630-Apr-22 02:36:00 UTC,0.875,177.243
Saturn Neptune,1630, 1630-Aug-29 19:15:00 UTC,0.521,55.225
Saturn Neptune,1666, 1666-May-02 02:51:00 UTC,1.793,111.42
Saturn Neptune,1667, 1667-Jan-02 09:05:00 UTC,0.555,9.399
Saturn Neptune,1667, 1667-Sep-27 15:51:00 UTC,3.699,110.743
Saturn Neptune,1702, 1702-Jul-23 18:41:00 UTC,2.821,110.662
Saturn Neptune,1703, 1703-Mar-28 01:05:00 UTC,0.679,5.567
Saturn Neptune,1703, 1703-Dec-18 01:16:00 UTC,4.219,110.296
Saturn Neptune,1738, 1738-Jul-02 06:29:00 UTC,0.251,9.09
Saturn Neptune,1739, 1739-Mar-02 06:09:00 UTC,2.911,111.94
Saturn Neptune,1773, 1773-Sep-27 06:16:00 UTC,0.774,15.816
Saturn Neptune,1774, 1774-May-20 04:42:00 UTC,1.925,110.157
Saturn Neptune,1809, 1809-Mar-15 10:28:00 UTC,3.04,110.604
Saturn Neptune,1809, 1809-Dec-01 16:02:00 UTC,0.08,2.934
Saturn Neptune,1810, 1810-Aug-10 20:45:00 UTC,2.392,111.186
Saturn Neptune,1846, 1846-Apr-03 17:54:00 UTC,0.717,46.337
Saturn Neptune,1846, 1846-Sep-04 21:25:00 UTC,1.078,164.337
Saturn Neptune,1846, 1846-Dec-11 20:03:00 UTC,0.978,66.274
Saturn Neptune,1881, 1881-Aug-26 07:05:00 UTC,4.207,110.699
Saturn Neptune,1882, 1882-May-12 17:33:00 UTC,0.348,5.739
Saturn Neptune,1883, 1883-Jan-18 11:52:00 UTC,3.246,111.136
Saturn Neptune,1916, 1916-Nov-14 03:07:00 UTC,4.292,110.836
Saturn Neptune,1917, 1917-Aug-01 03:01:00 UTC,0.629,3.563
Saturn Neptune,1918, 1918-Apr-07 00:10:00 UTC,3.459,111.239
Saturn Neptune,1952, 1952-Nov-21 08:22:00 UTC,0.669,36.286
Saturn Neptune,1953, 1953-May-20 01:11:00 UTC,0.992,142.685
Saturn Neptune,1953, 1953-Jul-23 22:26:00 UTC,0.779,80.561
Saturn Neptune,1989, 1989-Mar-03 09:43:00 UTC,0.228,60.887
Saturn Neptune,1989, 1989-Jun-23 23:11:00 UTC,0.305,171.174
Saturn Neptune,1989, 1989-Nov-13 08:13:00 UTC,0.501,49.42
Saturn Neptune,2025, 2025-Jul-06 06:20:00 UTC,0.973,102.557
Saturn Neptune,2026, 2026-Feb-20 19:57:00 UTC,0.831,28.651
Saturn Neptune,2060, 2060-Oct-01 04:56:00 UTC,3.405,111.356
Saturn Neptune,2061, 2061-Jun-07 03:46:00 UTC,0.115,3.659
Saturn Neptune,2095, 2095-Dec-17 10:12:00 UTC,3.405,110.516
Saturn Neptune,2096, 2096-Aug-27 04:53:00 UTC,0.825,3.514
Saturn Neptune,2097, 2097-May-11 05:32:00 UTC,3.93,110.313
Saturn Neptune,2132, 2132-Feb-06 23:16:00 UTC,0.486,80.524
Saturn Neptune,2132, 2132-Apr-10 22:23:00 UTC,0.618,144.697
Saturn Neptune,2132, 2132-Oct-11 07:46:00 UTC,0.24,37.147
Saturn Neptune,2168, 2168-May-24 07:10:00 UTC,2.98,110.819
Saturn Neptune,2169, 2169-Feb-06 08:48:00 UTC,0.728,2.331
Saturn Neptune,2169, 2169-Oct-20 02:30:00 UTC,2.871,110.91
Saturn Neptune,2204, 2204-Aug-18 08:46:00 UTC,2.068,110.935
Saturn Neptune,2205, 2205-Apr-11 19:45:00 UTC,0.521,14.083
Saturn Neptune,2239, 2239-Nov-07 04:40:00 UTC,2.421,111.697
Saturn Neptune,2240, 2240-Jul-03 00:49:00 UTC,0.568,12.659
Saturn Neptune,2275, 2275-Jan-18 06:34:00 UTC,4.194,109.901
Saturn Neptune,2275, 2275-Oct-12 07:37:00 UTC,0.756,7.129
Saturn Neptune,2276, 2276-Jun-13 23:31:00 UTC,2.574,110.121
Saturn Neptune,2311, 2311-Apr-07 16:17:00 UTC,3.826,110.391
Saturn Neptune,2312, 2312-Jan-04 14:22:00 UTC,0.166,12.365
Saturn Neptune,2312, 2312-Sep-01 18:19:00 UTC,1.494,111.98
Saturn Neptune,2348, 2348-May-03 13:49:00 UTC,0.832,52.058
Saturn Neptune,2348, 2348-Sep-19 12:37:00 UTC,1.217,173.277
Saturn Neptune,2349, 2349-Jan-10 17:20:00 UTC,1.011,59.61
Saturn Neptune,2383, 2383-Sep-22 00:19:00 UTC,3.306,111.315
Saturn Neptune,2384, 2384-May-27 07:19:00 UTC,0.086,4.02
Saturn Neptune,2418, 2418-Dec-08 21:23:00 UTC,2.915,110.914
Saturn Neptune,2419, 2419-Aug-12 05:08:00 UTC,0.825,8.533
Saturn Neptune,2454, 2454-Dec-22 14:50:00 UTC,0.549,44.565
Saturn Neptune,2455, 2455-May-23 16:04:00 UTC,0.802,162.386
Saturn Neptune,2455, 2455-Aug-30 16:59:00 UTC,0.499,67.237
Saturn Neptune,2491, 2491-May-15 11:17:00 UTC,0.558,109.635
Saturn Neptune,2491, 2491-Dec-29 20:15:00 UTC,0.701,26.259
Saturn Neptune,2527, 2527-Aug-07 06:30:00 UTC,1.822,110.299
Saturn Neptune,2528, 2528-Mar-29 17:32:00 UTC,0.697,15.82
Saturn Neptune,2562, 2562-Oct-24 17:13:00 UTC,4.297,111.044
Saturn Neptune,2563, 2563-Jul-10 08:54:00 UTC,0.363,3.859
Saturn Neptune,2564, 2564-Mar-16 00:41:00 UTC,3.502,111.582
Saturn Neptune,2598, 2598-Oct-03 12:17:00 UTC,0.833,8.941
Saturn Neptune,2599, 2599-Jun-03 13:58:00 UTC,2.608,110.273
Saturn Neptune,2634, 2634-Mar-30 06:51:00 UTC,2.201,111.098
Saturn Neptune,2634, 2634-Dec-05 19:28:00 UTC,0.011,6.803
Saturn Neptune,2635, 2635-Aug-25 12:59:00 UTC,3.28,110.887
Saturn Neptune,2671, 2671-Mar-31 12:26:00 UTC,0.818,30.318
Saturn Neptune,2671, 2671-Nov-21 07:05:00 UTC,1.167,100.444
Saturn Neptune,2706, 2706-Sep-10 06:37:00 UTC,3.879,110.774
Saturn Neptune,2707, 2707-May-24 14:56:00 UTC,0.305,3.419
Saturn Neptune,2708, 2708-Feb-02 11:16:00 UTC,3.477,111.029
Saturn Neptune,2742, 2742-Aug-15 17:17:00 UTC,0.724,4.465
Saturn Neptune,2743, 2743-Apr-20 16:24:00 UTC,3.378,111.134
Saturn Neptune,2777, 2777-Dec-02 15:20:00 UTC,0.67,34.123
Saturn Neptune,2778, 2778-Jun-12 19:49:00 UTC,0.945,132.631
Saturn Neptune,2778, 2778-Jul-31 10:01:00 UTC,0.772,86.249
Saturn Neptune,2814, 2814-Mar-06 13:47:00 UTC,0.35,50.864
Saturn Neptune,2814, 2814-Jul-22 05:57:00 UTC,0.493,174.13
Saturn Neptune,2814, 2814-Nov-16 10:17:00 UTC,0.622,59.447
Saturn Neptune,2850, 2850-Jun-23 17:28:00 UTC,0.915,77.813
Saturn Neptune,2850, 2850-Sep-03 23:18:00 UTC,1.162,147.071
Saturn Neptune,2851, 2851-Feb-23 17:43:00 UTC,0.881,38.913
Saturn Neptune,2885, 2885-Oct-14 02:52:00 UTC,3.765,111.176
Saturn Neptune,2886, 2886-Jun-24 14:06:00 UTC,0.188,1.03
Saturn Neptune,2887, 2887-Mar-06 17:48:00 UTC,3.876,111.314
Saturn Neptune,2920, 2920-Dec-30 11:34:00 UTC,3.713,110.294
Saturn Neptune,2921, 2921-Sep-13 13:17:00 UTC,0.887,1.774
Saturn Neptune,2922, 2922-May-25 12:35:00 UTC,3.676,110.284
Saturn Neptune,2957, 2957-Feb-14 22:24:00 UTC,0.419,76.034
Saturn Neptune,2957, 2957-Apr-30 21:05:00 UTC,0.545,151.239
Saturn Neptune,2957, 2957-Oct-21 16:22:00 UTC,0.17,40.006
Saturn Neptune,2993, 2993-Jun-07 12:50:00 UTC,2.168,110.866
Saturn Neptune,2994, 2994-Feb-10 02:23:00 UTC,0.84,7.25
Saturn Neptune,2994, 2994-Nov-03 17:03:00 UTC,3.758,110.461
