Planets,Years,Date,Angular Separation (deg),Elongation
Jupiter Neptune,629, 0629-Apr-11 07:09:00 UTC,0.062,149.484
Jupiter Neptune,629, 0629-Jun-13 10:21:00 UTC,0.155,88.475
Jupiter Neptune,641, 0641-Nov-02 16:45:00 UTC,0.7,21.228
Jupiter Neptune,654, 0654-Nov-01 22:54:00 UTC,0.993,6.957
Jupiter Neptune,667, 0667-Apr-03 05:44:00 UTC,1.727,119.098
Jupiter Neptune,667, 0667-Oct-24 22:39:00 UTC,1.118,42.276
Jupiter Neptune,680, 0680-Feb-17 02:12:00 UTC,0.672,45.187
Jupiter Neptune,680, 0680-Sep-05 10:13:00 UTC,1.812,119.749
Jupiter Neptune,693, 0693-Jan-29 12:47:00 UTC,0.384,0.835
Jupiter Neptune,705, 0705-Jul-01 15:00:00 UTC,0.703,119.719
Jupiter Neptune,706, 0706-Jan-09 16:46:00 UTC,0.012,48.206
Jupiter Neptune,718, 0718-May-02 05:38:00 UTC,0.528,33.313
Jupiter Neptune,731, 0731-Apr-14 06:29:00 UTC,0.924,11.709
Jupiter Neptune,743, 0743-Aug-23 08:03:00 UTC,0.77,84.121
Jupiter Neptune,743, 0743-Nov-03 23:26:00 UTC,0.799,156.985
Jupiter Neptune,744, 0744-Mar-26 02:18:00 UTC,1.155,57.235
Jupiter Neptune,756, 0756-Jul-28 06:26:00 UTC,0.798,31.871
Jupiter Neptune,769, 0769-Jul-24 10:05:00 UTC,0.555,0.699
Jupiter Neptune,782, 0782-Jul-25 05:36:00 UTC,0.145,26.663
Jupiter Neptune,794, 0794-Dec-11 09:40:00 UTC,0.238,82.141
Jupiter Neptune,795, 0795-Feb-23 00:24:00 UTC,0.011,157.279
Jupiter Neptune,795, 0795-Jul-24 01:09:00 UTC,0.325,55.469
Jupiter Neptune,807, 0807-Nov-29 06:58:00 UTC,0.684,42.139
Jupiter Neptune,808, 0808-Jun-16 04:37:00 UTC,0.924,119.282
Jupiter Neptune,820, 0820-Nov-24 19:37:00 UTC,0.957,11.237
Jupiter Neptune,833, 0833-Nov-19 02:41:00 UTC,1.041,21.851
Jupiter Neptune,846, 0846-Mar-21 11:35:00 UTC,0.607,72.249
Jupiter Neptune,846, 0846-Jul-09 13:26:00 UTC,0.938,178.939
Jupiter Neptune,846, 0846-Oct-28 14:51:00 UTC,0.974,70.947
Jupiter Neptune,859, 0859-Feb-23 09:36:00 UTC,0.292,19.094
Jupiter Neptune,872, 0872-Feb-04 18:38:00 UTC,0.132,26.966
Jupiter Neptune,884, 0884-May-28 16:53:00 UTC,0.513,54.551
Jupiter Neptune,884, 0884-Nov-15 01:00:00 UTC,0.315,137.275
Jupiter Neptune,884, 0884-Dec-16 17:03:00 UTC,0.457,104.609
Jupiter Neptune,897, 0897-May-07 23:48:00 UTC,0.907,7.059
Jupiter Neptune,910, 0910-Apr-25 12:06:00 UTC,1.102,33.76
Jupiter Neptune,922, 0922-Aug-26 13:46:00 UTC,0.719,54.212
Jupiter Neptune,923, 0923-Jan-22 22:20:00 UTC,1.076,154.094
Jupiter Neptune,923, 0923-Apr-01 06:38:00 UTC,1.11,85.347
Jupiter Neptune,935, 0935-Aug-19 13:49:00 UTC,0.462,19.553
Jupiter Neptune,948, 0948-Aug-19 20:47:00 UTC,0.045,7.027
Jupiter Neptune,961, 0961-Jan-15 22:01:00 UTC,2.984,116.847
Jupiter Neptune,961, 0961-Aug-22 02:29:00 UTC,0.423,32.433
Jupiter Neptune,974, 0974-Jan-01 18:37:00 UTC,0.625,71.215
Jupiter Neptune,974, 0974-Apr-14 00:41:00 UTC,0.46,173.962
Jupiter Neptune,974, 0974-Aug-17 03:33:00 UTC,0.835,64.76
Jupiter Neptune,986, 0986-Dec-21 19:22:00 UTC,0.9,32.572
Jupiter Neptune,999, 0999-Dec-14 13:02:00 UTC,0.956,2.106
Jupiter Neptune,1012, 1012-May-13 01:51:00 UTC,1.823,119.462
Jupiter Neptune,1012, 1012-Dec-01 06:22:00 UTC,0.826,42.893
Jupiter Neptune,1025, 1025-Mar-23 20:15:00 UTC,0.22,41.079
Jupiter Neptune,1025, 1025-Oct-16 23:15:00 UTC,2.88,119.565
Jupiter Neptune,1038, 1038-Mar-03 19:09:00 UTC,0.222,6.234
Jupiter Neptune,1050, 1050-Jul-11 23:03:00 UTC,0.421,89.887
Jupiter Neptune,1050, 1050-Sep-14 23:01:00 UTC,0.229,153.401
Jupiter Neptune,1051, 1051-Feb-07 20:03:00 UTC,0.653,57.718
Jupiter Neptune,1063, 1063-Jun-05 01:22:00 UTC,0.868,26.803
Jupiter Neptune,1076, 1076-May-23 06:58:00 UTC,1.03,12.248
Jupiter Neptune,1088, 1088-Oct-13 11:47:00 UTC,0.672,96.545
Jupiter Neptune,1088, 1088-Nov-23 13:27:00 UTC,0.778,138.307
Jupiter Neptune,1089, 1089-May-13 02:55:00 UTC,0.972,49.876
