Planets,Years,Date,Angular Separation (deg),Elongation
Saturn Jupiter ,967, 0967-Jun-30 09:52:00 UTC,1.152,80.043
Saturn Jupiter ,967, 0967-Oct-11 02:49:00 UTC,1.186,176.08
Saturn Jupiter ,968, 0968-Jan-09 04:55:00 UTC,1.257,83.339
Saturn Jupiter ,988, 0988-Jan-21 16:33:00 UTC,0.593,31.732
Saturn Jupiter ,1007, 1007-Nov-14 00:21:00 UTC,0.786,67.793
Saturn Jupiter ,1008, 1008-Mar-12 23:20:00 UTC,0.769,167.985
Saturn Jupiter ,1008, 1008-Jun-07 14:23:00 UTC,0.832,82.52
Saturn Jupiter ,1027, 1027-Apr-26 06:42:00 UTC,1.202,9.673
Saturn Jupiter ,1047, 1047-Nov-24 22:07:00 UTC,0.501,32.917
Saturn Jupiter ,1067, 1067-Sep-25 13:48:00 UTC,0.942,10.533
Saturn Jupiter ,1086, 1086-Aug-31 03:09:00 UTC,1.931,120.294
Saturn Jupiter ,1087, 1087-Mar-04 09:37:00 UTC,1.263,49.9
Saturn Jupiter ,1107, 1107-Feb-16 21:38:00 UTC,0.288,40.731
Saturn Jupiter ,1107, 1107-Sep-09 12:10:00 UTC,3.273,118.665
Saturn Jupiter ,1127, 1127-Jan-19 09:16:00 UTC,2.33,116.936
Saturn Jupiter ,1127, 1127-Aug-14 07:17:00 UTC,1.088,39.42
Saturn Jupiter ,1146, 1146-Jun-11 02:20:00 UTC,1.139,31.492
Saturn Jupiter ,1166, 1166-Dec-18 20:45:00 UTC,0.163,24.986
Saturn Jupiter ,1186, 1186-Nov-15 06:20:00 UTC,1.124,40.683
Saturn Jupiter ,1187, 1187-Jun-02 19:24:00 UTC,2.092,118.263
Saturn Jupiter ,1206, 1206-Apr-23 19:34:00 UTC,1.097,22.719
Saturn Jupiter ,1226, 1226-Mar-12 04:36:00 UTC,0.036,48.589
Saturn Jupiter ,1226, 1226-Sep-22 02:38:00 UTC,2.263,120.88
Saturn Jupiter ,1246, 1246-Sep-28 20:36:00 UTC,1.202,13.678
Saturn Jupiter ,1265, 1265-Aug-01 06:32:00 UTC,0.951,59.32
Saturn Jupiter ,1266, 1266-Jan-24 16:23:00 UTC,1.131,120.117
Saturn Jupiter ,1286, 1286-Jan-07 21:37:00 UTC,0.175,19.765
Saturn Jupiter ,1306, 1306-Jan-02 06:37:00 UTC,1.195,70.896
Saturn Jupiter ,1306, 1306-Apr-28 05:08:00 UTC,1.263,170.511
Saturn Jupiter ,1306, 1306-Jul-27 12:57:00 UTC,1.3,82.446
Saturn Jupiter ,1325, 1325-Jun-09 17:31:00 UTC,0.818,1.217
Saturn Jupiter ,1345, 1345-Apr-01 12:39:00 UTC,0.348,52.74
Saturn Jupiter ,1345, 1345-Oct-06 12:34:00 UTC,1.802,122.126
Saturn Jupiter ,1365, 1365-Nov-02 10:26:00 UTC,1.209,3.934
Saturn Jupiter ,1384, 1384-Oct-16 13:12:00 UTC,0.703,113.435
Saturn Jupiter ,1385, 1385-Apr-17 06:39:00 UTC,0.715,58.478
Saturn Jupiter ,1405, 1405-Jan-25 20:07:00 UTC,0.488,18.22
Saturn Jupiter ,1425, 1425-Feb-22 02:38:00 UTC,1.177,105.96
Saturn Jupiter ,1425, 1425-Mar-25 15:52:00 UTC,1.2,137.954
Saturn Jupiter ,1425, 1425-Sep-04 08:57:00 UTC,1.262,61.437
Saturn Jupiter ,1444, 1444-Jul-23 02:57:00 UTC,0.478,21.004
Saturn Jupiter ,1464, 1464-Apr-17 08:32:00 UTC,0.628,52.828
Saturn Jupiter ,1464, 1464-Oct-21 21:08:00 UTC,1.931,122.236
Saturn Jupiter ,1484, 1484-Nov-27 15:44:00 UTC,1.134,12.915
Saturn Jupiter ,1503, 1503-Nov-06 02:10:00 UTC,2.943,114.682
Saturn Jupiter ,1504, 1504-Jun-04 06:03:00 UTC,0.311,33.559
Saturn Jupiter ,1524, 1524-Feb-10 06:10:00 UTC,0.761,18.995
Saturn Jupiter ,1544, 1544-Mar-23 19:57:00 UTC,1.364,121.115
Saturn Jupiter ,1544, 1544-Sep-28 03:43:00 UTC,1.151,53.355
Saturn Jupiter ,1563, 1563-Sep-04 17:47:00 UTC,0.113,42.079
Saturn Jupiter ,1564, 1564-Mar-19 19:01:00 UTC,1.614,117.439
Saturn Jupiter ,1583, 1583-May-03 00:29:00 UTC,0.866,51.665
Saturn Jupiter ,1583, 1583-Nov-07 19:37:00 UTC,2.207,121.806
Saturn Jupiter ,1603, 1603-Dec-18 05:19:00 UTC,0.995,17.73
Saturn Jupiter ,1623, 1623-Jul-16 22:41:00 UTC,0.086,12.815
Saturn Jupiter ,1643, 1643-Feb-24 22:59:00 UTC,0.987,18.973
Saturn Jupiter ,1663, 1663-Apr-06 21:38:00 UTC,1.717,120.617
Saturn Jupiter ,1663, 1663-Oct-17 00:33:00 UTC,0.978,49.369
Saturn Jupiter ,1682, 1682-Oct-24 08:13:00 UTC,0.257,72.163
Saturn Jupiter ,1683, 1683-Feb-09 01:19:00 UTC,0.192,175.984
Saturn Jupiter ,1683, 1683-May-18 04:16:00 UTC,0.263,77.303
Saturn Jupiter ,1702, 1702-May-21 19:56:00 UTC,1.053,53.57
Saturn Jupiter ,1702, 1702-Nov-23 05:30:00 UTC,2.033,122.352
Saturn Jupiter ,1723, 1723-Jan-05 13:58:00 UTC,0.795,21.506
Saturn Jupiter ,1742, 1742-Aug-30 20:41:00 UTC,0.462,10.109
Saturn Jupiter ,1762, 1762-Mar-18 16:14:00 UTC,1.15,14.467
Saturn Jupiter ,1782, 1782-Apr-20 22:46:00 UTC,2.284,119.803
Saturn Jupiter ,1782, 1782-Nov-05 09:51:00 UTC,0.741,44.97
Saturn Jupiter ,1801, 1801-Dec-26 12:56:00 UTC,1.876,116.904
Saturn Jupiter ,1802, 1802-Jul-17 22:20:00 UTC,0.656,40.648
Saturn Jupiter ,1821, 1821-Jun-19 14:44:00 UTC,1.168,63.286
Saturn Jupiter ,1821, 1821-Dec-06 00:14:00 UTC,1.293,126.455
Saturn Jupiter ,1842, 1842-Jan-26 05:20:00 UTC,0.537,27.029
Saturn Jupiter ,1861, 1861-Oct-21 11:25:00 UTC,0.792,39.734
